dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean
Coffee,1,0,1,99.1367793083191,0.405966599782308
Beef,0.877777777777778,0.0415739709641549,0.9,95.3894786834717,0.397589445114136
GunPoint,0.997777777777778,0.0031426968052735,1,100.549197514852,0.838133255640666
ECG200,0.86,0.032659863237109,0.85,41.8040084838867,0.923099915186564
Wine,0.759259259259259,0.0400045722123941,0.777777777777778,59.0132476488749,0.983163674672445
ToeSegmentation1,0.976608187134503,0.0020675636876799,0.978070175438596,96.086714108785,0.907839854558309
ArrowHead,0.788571428571429,0.0283803131919073,0.8,94.2035055160523,1.05775650342306
CBF,0.994444444444444,0,0.996666666666667,109.665441433589,0.78742520014445
BME,0.993333333333333,0,0.993333333333333,88.5981272856395,0.569066047668457
FreezerRegularTrain,0.998830409356725,0.0001654050950143,0.998947368421053,124.893700202306,1.00760992368062
Trace,1,0,1,45.7012465794881,0.921537478764852
Plane,1,0,1,39.1909602483114,0.95875350634257
FacesUCR,0.949918699186992,0.0041455443199941,0.958048780487805,99.8805871804555,0.852056423823039
Fish,0.984761904761905,0.0026937401188058,0.982857142857143,66.962263027827,0.91631809870402
Yoga,0.915555555555556,0.0049466287310115,0.932,160.865445931753,1.01881702740987
SwedishLeaf,0.968,0.0067882250993908,0.9744,75.4520869255066,0.786551952362061
ECG5000,0.942814814814815,0.0014665918424609,0.944888888888889,179.987813949585,0.918214480082194
ChlorineConcentration,0.833420138888889,0.0078825945032961,0.840625,163.385143597921,0.613787412643433
Adiac,0.847399829497016,0.0048225526423635,0.872122762148338,70.5239585240682,0.819152673085531
FiftyWords,0.772161172161172,0.0139386795534362,0.815384615384615,94.1361218293508,0.78920833269755
FaceAll,0.919526627218935,0.0053799533321443,0.923668639053254,113.967876434326,0.616923967997233
StarLightCurves,0.976121094382386,0.000894071638108,0.977537639630889,922.358398834864,1.3546146551768
Wafer,0.999513303049968,0.0001324621318831,0.999675535366645,245.237231572469,0.943894624710083
ElectricDevices,0.673842562572948,0.0096357397048921,0.690831279989625,665.140096187592,0.824664274851481
Crop,0.737480158730159,0.0026487909457764,0.770952380952381,682.524010737737,0.796791950861613
NonInvasiveFetalECGThorax1,0.96047497879559,0.0008649736240191,0.973027989821883,693.46435379982,1.05872146288554
SmoothSubspace,0.977777777777778,0.0031426968052735,0.98,34.9004004001617,0.73028302192688
ShapesAll,0.908888888888889,0.0020786985482077,0.921666666666667,175.366844256719,0.79227344195048
CricketX,0.801709401709402,0.0052687299170675,0.820512820512821,86.8228405316671,0.777302742004395
UWaveGestureLibraryX,0.824306718779081,0.00102785790221362,0.840312674483529,228.540915250778,1.04630827903748
AVERAGE,0.908009208147558,0.00752509721846257,0.91711027126273,191.791626532873,0.84712754090627
